Pico (Tensão - Dados),Pico (Corrente - Dados),Média Distância Picos - Dados (V),Pico (Tensão - Ajuste),Pico (Corrente - Ajuste),Média Distância Picos - Ajuste (V)
8.51,,3.2425,8.455105105105105,1.7832845665971053,1.8362996329663
9.68,,,9.773603603603604,2.6379905400870927,
11.44,,,11.56948948948949,4.04440148770956,
16.48,,,12.342402402402403,3.2725052506795658,
21.48,,,16.502492492492493,8.09045949945152,
,,,21.52642642642643,14.164975828425058,
,,,23.185915915915917,4.1042985677575,
,,,23.345045045045048,4.204089303377364,
,,,23.936096096096097,7.073729991219673,
,,,24.981801801801804,17.32414486782424,
,1.78,,,,
,2.62,,,,
,4.0,,,,
,8.09,,,,
,14.12,,,,
