Time,Corrente,Tensão
t/ms,i/nA,U/V
"0,0","-3,26","0,18"
"500,0","-2,22","0,21"
"1000,0","-0,64","1,05"
"1500,0","1,58","1,83"
"2000,0","1,43","2,61"
"2500,0","1,04","3,39"
"3000,0","0,69","4,1"
"3500,0","0,44","4,82"
"4000,0","0,74","5,51"
"4500,0","1,09","6,2"
"5000,0","1,38","6,83"
"5500,0","1,83","7,49"
"6000,0","2,12","8,09"
"6500,0","2,27","8,72"
"7000,0","2,32","9,32"
"7500,0","2,42","9,86"
"8000,0","2,81","10,43"
"8500,0","3,46","10,97"
"9000,0","3,95","11,5"
"9500,0","4,1","12,04"
"10000,0","3,85","12,55"
"10500,0","3,36","13,03"
"11000,0","2,91","13,51"
"11500,0","2,76","13,99"
"12000,0","3,11","14,44"
"12500,0","3,7","14,89"
"13000,0","4,64","15,31"
"13500,0","5,97","15,73"
"14000,0","7,31","16,18"
"14500,0","8,19","16,57"
"15000,0","8,09","16,96"
"15500,0","7,16","17,32"
"16000,0","5,97","17,71"
"16500,0","4,84","18,07"
"17000,0","3,95","18,42"
"17500,0","3,65","18,78"
"18000,0","3,8","19,14"
"18500,0","4,49","19,44"
"19000,0","5,48","19,77"
"19500,0","6,91","20,1"
"20000,0","8,74","20,4"
"20500,0","10,51","20,73"
"21000,0","12,29","21,0"
"21500,0","13,67","21,27"
"22000,0","14,22","21,57"
"22500,0","13,97","21,84"
"23000,0","15,0","22,14"
"23500,0","12,59","22,41"
"24000,0","9,48","22,65"
"24500,0","7,31","22,89"
"25000,0","5,28","23,16"
"25500,0","4,39","23,4"
"26000,0","3,95","23,64"
"26500,0","3,7","23,85"
"27000,0","3,95","24,09"
"27500,0","4,59","24,3"
"28000,0","5,63","24,54"
"28500,0","6,91","24,72"
"29000,0","8,44","24,96"
"29500,0","10,12","25,14"
"30000,0","12,09","25,35"
"30500,0","14,07","25,56"
"31000,0","15,99","25,73"
"31500,0","17,97","25,91"
"32000,0","19,89","26,09"
"32500,0","21,47","26,27"
