Time,Corrente,Tensão
t/ms,,U/V
"0,0",-0.32599999999999996,"0,18"
"500,0",-0.22200000000000003,"0,21"
"1000,0",-0.064,"1,05"
"1500,0",0.158,"1,83"
"2000,0",0.143,"2,61"
"2500,0",0.10400000000000001,"3,39"
"3000,0",0.06899999999999999,"4,1"
"3500,0",0.044,"4,82"
"4000,0",0.074,"5,51"
"4500,0",0.10900000000000001,"6,2"
"5000,0",0.13799999999999998,"6,83"
"5500,0",0.183,"7,49"
"6000,0",0.21200000000000002,"8,09"
"6500,0",0.227,"8,72"
"7000,0",0.23199999999999998,"9,32"
"7500,0",0.242,"9,86"
"8000,0",0.281,"10,43"
"8500,0",0.346,"10,97"
"9000,0",0.395,"11,5"
"9500,0",0.41,"12,04"
"10000,0",0.385,"12,55"
"10500,0",0.33599999999999997,"13,03"
"11000,0",0.29100000000000004,"13,51"
"11500,0",0.27599999999999997,"13,99"
"12000,0",0.311,"14,44"
"12500,0",0.37,"14,89"
"13000,0",0.46399999999999997,"15,31"
"13500,0",0.597,"15,73"
"14000,0",0.731,"16,18"
"14500,0",0.819,"16,57"
"15000,0",0.8089999999999999,"16,96"
"15500,0",0.716,"17,32"
"16000,0",0.597,"17,71"
"16500,0",0.484,"18,07"
"17000,0",0.395,"18,42"
"17500,0",0.365,"18,78"
"18000,0",0.38,"19,14"
"18500,0",0.449,"19,44"
"19000,0",0.548,"19,77"
"19500,0",0.6910000000000001,"20,1"
"20000,0",0.874,"20,4"
"20500,0",1.051,"20,73"
"21000,0",1.2289999999999999,"21,0"
"21500,0",1.367,"21,27"
"22000,0",1.4220000000000002,"21,57"
"22500,0",1.397,"21,84"
"23000,0",1.5,"22,14"
"23500,0",1.259,"22,41"
"24000,0",0.9480000000000001,"22,65"
"24500,0",0.731,"22,89"
"25000,0",0.528,"23,16"
"25500,0",0.43899999999999995,"23,4"
"26000,0",0.395,"23,64"
"26500,0",0.37,"23,85"
"27000,0",0.395,"24,09"
"27500,0",0.45899999999999996,"24,3"
"28000,0",0.563,"24,54"
"28500,0",0.6910000000000001,"24,72"
"29000,0",0.844,"24,96"
"29500,0",1.012,"25,14"
"30000,0",1.209,"25,35"
"30500,0",1.407,"25,56"
"31000,0",1.599,"25,73"
"31500,0",1.797,"25,91"
"32000,0",1.989,"26,09"
"32500,0",2.147,"26,27"
