Pico (Tensão - Dados),Pico (Corrente - Dados),Vale (Tensão - Dados),Vale (Corrente - Dados),Distância Picos-Vales (Dados),Distância Picos Consecutivos (V),Distância Vales Consecutivos (V),Média Distância Picos Consecutivos (V),Média Distância Vales Consecutivos (V)
1.83,,4.82,,2.99,10.209999999999999,9.17,5.077500000000001,4.7575
12.04,,13.99,,1.950000000000001,4.530000000000001,4.790000000000001,,
16.57,,18.78,,2.210000000000001,5.0,3.0599999999999987,,
21.57,1.58,21.84,,0.2699999999999996,0.5700000000000003,2.0100000000000016,,
22.14,,23.85,,1.7100000000000009,,,,
,,,0.44,,,,,
,4.1,,,,,,,
,,,2.76,,,,,
,8.19,,,,,,,
,,,3.65,,,,,
,14.22,,,,,,,
,,,13.97,,,,,
,15.0,,,,,,,
,,,3.7,,,,,
