Pico (Tensão - Dados),Pico (Corrente - Dados),Vale (Tensão - Dados),Vale (Corrente - Dados),Distância Picos (Dados vs Ajuste),Distância Vales (Dados vs Ajuste),Média Distância Picos,Média Distância Vales,Distância Picos Consecutivos (V),Média Distância Picos Consecutivos (V),Distância Vales Consecutivos (V),Média Distância Vales Consecutivos (V)
1.23,,0.75,,0.14567525787199945,0.0019526587288381657,0.1085887219088475,0.13778962563946603,2.75,5.8671428571428565,2.19,5.46375
3.98,,2.94,,0.006006109757325291,0.31715196431745163,,,13.489999999999998,,1.52,
17.47,,4.46,,0.3041703830034531,0.2761289075896704,,,4.880000000000003,,15.55,
22.35,,20.01,-0.2,0.08368373984846277,0.04069069560001269,,,4.91,,4.439999999999998,
27.26,-0.1,24.45,,0.14713839352813848,0.313539577229344,,,5.2499999999999964,,4.879999999999999,
32.51,,29.33,,0.08595234232148702,0.13806524055550973,,,4.910000000000004,,5.18,
37.42,,34.51,-0.15,0.0668553172098256,0.020871414385140858,,,4.8799999999999955,,4.980000000000004,
42.3,,39.49,,0.029228231730088334,0.10425940180277246,,,,,4.969999999999999,
,-0.1,44.46,,,0.027446770546454356,,,,,,
,,,-0.15,,,,,,,,
,0.49,,,,,,,,,,
,,,0.35,,,,,,,,
,0.99,,,,,,,,,,
,,,0.54,,,,,,,,
,1.63,,,,,,,,,,
,,,0.59,,,,,,,,
,2.47,,,,,,,,,,
,,,0.69,,,,,,,,
,3.55,,,,,,,,,,
,,,0.79,,,,,,,,
,4.89,,,,,,,,,,
,,,0.94,,,,,,,,
