Time,Corrente,Tensão
t/ms,i/nA,U/V
"0,0","-0,1","0,18"
"500,0","-0,1","0,84"
"1000,0","-0,1","1,95"
"1500,0","-0,1","3,06"
"2000,0","-0,15","4,1"
"2500,0","-0,05","5,12"
"3000,0","-0,1","6,08"
"3500,0","-0,05","7,07"
"4000,0","-0,05","8,0"
"4500,0","0,0","8,9"
"5000,0","0,0","9,8"
"5500,0","0,05","10,64"
"6000,0","0,05","11,5"
"6500,0","0,1","12,31"
"7000,0","0,1","13,09"
"7500,0","0,05","13,87"
"8000,0","0,05","14,62"
"8500,0","0,1","15,37"
"9000,0","0,15","16,09"
"9500,0","0,25","16,78"
"10000,0","0,3","17,44"
"10500,0","0,25","18,13"
"11000,0","0,2","18,75"
"11500,0","0,15","19,38"
"12000,0","0,15","19,98"
"12500,0","0,2","20,61"
"13000,0","0,35","21,18"
"13500,0","0,44","21,75"
"14000,0","0,54","22,29"
"14500,0","0,54","22,83"
"15000,0","0,39","23,37"
"15500,0","0,3","23,91"
"16000,0","0,2","24,39"
"16500,0","0,15","24,9"
"17000,0","0,2","25,35"
"17500,0","0,39","25,82"
"18000,0","0,59","26,3"
"18500,0","0,84","26,78"
"19000,0","0,94","27,2"
"19500,0","0,94","27,62"
"20000,0","0,74","28,04"
"20500,0","0,54","28,46"
"21000,0","0,35","28,85"
"21500,0","0,25","29,24"
"22000,0","0,2","29,66"
"22500,0","0,25","30,02"
"23000,0","0,35","30,41"
"23500,0","0,49","30,74"
"24000,0","0,74","31,1"
"24500,0","1,04","31,46"
"25000,0","1,28","31,79"
"25500,0","1,43","32,15"
"26000,0","1,43","32,42"
"26500,0","1,33","32,75"
"27000,0","1,09","33,07"
"27500,0","0,84","33,37"
"28000,0","0,59","33,64"
"28500,0","0,44","33,94"
"29000,0","0,3","34,24"
"29500,0","0,25","34,51"
"30000,0","0,2","34,78"
"30500,0","0,25","35,05"
"31000,0","0,35","35,29"
"31500,0","0,54","35,56"
"32000,0","0,64","35,83"
"32500,0","0,89","36,07"
"33000,0","1,14","36,28"
"33500,0","1,43","36,52"
"34000,0","1,73","36,73"
"34500,0","1,97","36,97"
"35000,0","2,07","37,21"
"35500,0","2,12","37,39"
"36000,0","2,02","37,63"
"36500,0","1,83","37,84"
"37000,0","1,58","38,02"
"37500,0","1,33","38,23"
"38000,0","1,09","38,41"
"38500,0","0,84","38,59"
"39000,0","0,69","38,77"
"39500,0","0,54","38,95"
"40000,0","0,39","39,16"
"40500,0","0,35","39,34"
"41000,0","0,25","39,49"
"41500,0","0,25","39,67"
"42000,0","0,25","39,82"
"42500,0","0,3","40,0"
"43000,0","0,35","40,15"
"43500,0","0,44","40,27"
"44000,0","0,59","40,44"
"44500,0","0,79","40,56"
"45000,0","0,94","40,71"
"45500,0","1,18","40,89"
"46000,0","1,38","40,98"
"46500,0","1,58","41,13"
"47000,0","1,83","41,28"
"47500,0","2,12","41,37"
"48000,0","2,37","41,52"
"48500,0","2,62","41,64"
"49000,0","2,86","41,79"
"49500,0","3,06","41,88"
"50000,0","3,26","42,03"
"50500,0","3,36","42,12"
"51000,0","3,41","42,24"
"51500,0","3,46","42,36"
"52000,0","3,46","42,45"
"52500,0","3,36","42,57"
"53000,0","3,26","42,66"
"53500,0","3,11","42,78"
"54000,0","2,91","42,87"
"54500,0","2,71","42,96"
"55000,0","2,52","43,05"
"55500,0","2,32","43,17"
"56000,0","2,12","43,23"
"56500,0","1,92","43,35"
"57000,0","1,73","43,44"
"57500,0","1,53","43,53"
"58000,0","1,38","43,62"
"58500,0","1,23","43,68"
"59000,0","1,09","43,77"
"59500,0","0,99","43,86"
"60000,0","0,89","43,92"
"60500,0","0,79","44,01"
"61000,0","0,69","44,07"
"61500,0","0,64","44,13"
"62000,0","0,54","44,22"
"62500,0","0,54","44,28"
"63000,0","0,49","44,37"
"63500,0","0,44","44,4"
"64000,0","0,44","44,49"
"64500,0","0,39","44,55"
"65000,0","0,39","44,61"
"65500,0","0,35","44,7"
"66000,0","0,39","44,73"
"66500,0","0,39","44,82"
"67000,0","0,39","44,88"
"67500,0","0,39","44,94"
"68000,0","0,44","45,0"
"68500,0","0,44","45,03"
