Pico (Tensão - Dados),Pico (Corrente - Dados),Vale (Tensão - Dados),Vale (Corrente - Dados),Distância Picos-Vales (Dados),Distância Picos Consecutivos (V),Distância Vales Consecutivos (V),Média Distância Picos Consecutivos (V),Média Distância Vales Consecutivos (V)
5.12,,4.1,,0.96,7.19,1.9800000000000004,5.319999999999999,5.075
12.31,,6.08,,1.5599999999999987,5.130000000000001,7.789999999999999,,
17.44,,13.87,,1.9399999999999977,4.849999999999998,5.51,,
22.29,,19.38,,2.6099999999999994,4.91,5.52,,
27.2,,24.9,-0.015,2.460000000000001,4.949999999999999,4.760000000000002,,
32.15,-0.005,29.66,,2.6300000000000026,5.240000000000002,5.120000000000001,,
37.39,,34.78,-0.01,2.280000000000001,4.969999999999999,4.890000000000001,,
42.36,,39.67,,2.3400000000000034,,5.030000000000001,,
,,44.7,,,,,,
,0.01,,,,,,,
,,,0.005,,,,,
,0.03,,,,,,,
,,,0.015,,,,,
,0.054,,,,,,,
,,,0.015,,,,,
,0.094,,,,,,,
,,,0.02,,,,,
,0.143,,,,,,,
,,,0.02,,,,,
,0.212,,,,,,,
,,,0.025,,,,,
,0.346,,,,,,,
,,,0.0349999999999999,,,,,
