Time	Corrente	Tensão
t/ms	i/nA	U/V

0,0	-0,49	1,59
500,0	-0,35	2,67
1000,0	-0,3	3,74
1500,0	-0,15	4,76
2000,0	-0,05	5,72
2500,0	0,05	6,74
3000,0	0,2	7,67
3500,0	0,35	8,57
4000,0	0,44	9,44
4500,0	0,54	10,31
5000,0	0,69	11,14
5500,0	0,84	11,98
6000,0	0,89	12,76
6500,0	0,84	13,54
7000,0	0,84	14,29
7500,0	0,74	15,01
8000,0	0,89	15,73
8500,0	1,28	16,42
9000,0	1,58	17,11
9500,0	1,09	17,74
10000,0	1,04	18,39
10500,0	0,99	19,02
11000,0	0,74	19,65
11500,0	0,69	20,25
12000,0	1,18	20,82
12500,0	2,02	21,39
13000,0	2,81	21,96
13500,0	3,26	22,5
14000,0	3,21	23,01
14500,0	2,57	23,55
15000,0	1,92	24,06
15500,0	1,43	24,54
16000,0	1,23	25,02
16500,0	1,43	25,5
17000,0	2,22	25,97
17500,0	3,31	26,42
18000,0	4,24	26,84
18500,0	4,44	27,26
19000,0	4,0	27,68
19500,0	3,16	28,13
20000,0	2,32	28,55
20500,0	1,73	28,91
21000,0	1,28	29,3
21500,0	1,04	29,69
22000,0	0,94	30,05
22500,0	1,14	30,41
23000,0	1,78	30,74
23500,0	2,86	31,1
24000,0	4,24	31,43
24500,0	5,58	31,79
25000,0	6,32	32,12
25500,0	6,32	32,42
26000,0	5,68	32,72
26500,0	4,84	32,99
27000,0	3,8	33,28
27500,0	2,91	33,61
28000,0	2,17	33,88
28500,0	1,58	34,15
29000,0	1,18	34,42
29500,0	0,94	34,69
30000,0	0,84	34,96
30500,0	0,94	35,23
31000,0	1,18	35,47
31500,0	1,78	35,71
32000,0	2,67	35,95
32500,0	3,85	36,19
33000,0	5,33	36,43
33500,0	6,96	36,64
34000,0	8,44	36,85
34500,0	9,48	37,06
35000,0	9,92	37,27
35500,0	9,77	37,48
36000,0	9,18	37,66
36500,0	8,29	37,9
37000,0	7,21	38,08
37500,0	6,12	38,29
38000,0	5,08	38,44
38500,0	4,15	38,65
39000,0	3,36	38,8
39500,0	2,76	38,98
40000,0	2,71	39,16
40500,0	2,27	39,34
41000,0	1,78	39,49
41500,0	1,43	39,67
42000,0	1,23	39,82
42500,0	1,14	39,97
43000,0	1,09	40,12
43500,0	1,18	40,27
44000,0	1,38	40,41
44500,0	1,63	40,53
45000,0	2,07	40,68
45500,0	2,62	40,86
46000,0	3,31	40,95
46500,0	4,1	41,1
47000,0	5,03	41,22
47500,0	6,17	41,34
48000,0	7,21	41,49
48500,0	8,29	41,61
49000,0	9,38	41,73
49500,0	10,46	41,85
50000,0	11,4	41,94
50500,0	12,24	42,06
51000,0	12,73	42,18
51500,0	13,03	42,27
52000,0	13,13	42,36
52500,0	13,08	42,48
53000,0	12,78	42,57
53500,0	12,39	42,69
54000,0	11,9	42,78
54500,0	11,25	42,87
55000,0	10,51	42,96
55500,0	9,82	43,05
56000,0	9,13	43,14
56500,0	8,44	43,23
57000,0	7,7	43,32
57500,0	6,96	43,41
58000,0	6,37	43,47
58500,0	5,77	43,59
59000,0	5,18	43,68
59500,0	4,69	43,74
60000,0	4,24	43,8
60500,0	3,8	43,89
61000,0	3,41	43,95
61500,0	3,16	44,04
62000,0	2,81	44,1
62500,0	2,57	44,16
63000,0	2,32	44,25
63500,0	2,12	44,28
64000,0	1,92	44,37
64500,0	1,68	44,43
65000,0	5,03	44,49
65500,0	6,61	44,52
66000,0	5,33	44,61
66500,0	3,95	44,67
67000,0	2,86	44,73
67500,0	2,12	44,79
68000,0	1,78	44,82
68500,0	1,63	44,91
69000,0	1,48	44,97
69500,0	1,28	45,0
70000,0	1,18	45,03
