Time,Corrente,Tensão
t/ms,,U/V
"0,0",-0.049,"1,59"
"500,0",-0.034999999999999996,"2,67"
"1000,0",-0.03,"3,74"
"1500,0",-0.015,"4,76"
"2000,0",-0.005,"5,72"
"2500,0",0.005,"6,74"
"3000,0",0.02,"7,67"
"3500,0",0.034999999999999996,"8,57"
"4000,0",0.044,"9,44"
"4500,0",0.054000000000000006,"10,31"
"5000,0",0.06899999999999999,"11,14"
"5500,0",0.08399999999999999,"11,98"
"6000,0",0.089,"12,76"
"6500,0",0.08399999999999999,"13,54"
"7000,0",0.08399999999999999,"14,29"
"7500,0",0.074,"15,01"
"8000,0",0.089,"15,73"
"8500,0",0.128,"16,42"
"9000,0",0.158,"17,11"
"9500,0",0.10900000000000001,"17,74"
"10000,0",0.10400000000000001,"18,39"
"10500,0",0.099,"19,02"
"11000,0",0.074,"19,65"
"11500,0",0.06899999999999999,"20,25"
"12000,0",0.118,"20,82"
"12500,0",0.202,"21,39"
"13000,0",0.281,"21,96"
"13500,0",0.32599999999999996,"22,5"
"14000,0",0.321,"23,01"
"14500,0",0.257,"23,55"
"15000,0",0.192,"24,06"
"15500,0",0.143,"24,54"
"16000,0",0.123,"25,02"
"16500,0",0.143,"25,5"
"17000,0",0.22200000000000003,"25,97"
"17500,0",0.331,"26,42"
"18000,0",0.42400000000000004,"26,84"
"18500,0",0.44400000000000006,"27,26"
"19000,0",0.4,"27,68"
"19500,0",0.316,"28,13"
"20000,0",0.23199999999999998,"28,55"
"20500,0",0.173,"28,91"
"21000,0",0.128,"29,3"
"21500,0",0.10400000000000001,"29,69"
"22000,0",0.094,"30,05"
"22500,0",0.11399999999999999,"30,41"
"23000,0",0.178,"30,74"
"23500,0",0.286,"31,1"
"24000,0",0.42400000000000004,"31,43"
"24500,0",0.558,"31,79"
"25000,0",0.632,"32,12"
"25500,0",0.632,"32,42"
"26000,0",0.568,"32,72"
"26500,0",0.484,"32,99"
"27000,0",0.38,"33,28"
"27500,0",0.29100000000000004,"33,61"
"28000,0",0.217,"33,88"
"28500,0",0.158,"34,15"
"29000,0",0.118,"34,42"
"29500,0",0.094,"34,69"
"30000,0",0.08399999999999999,"34,96"
"30500,0",0.094,"35,23"
"31000,0",0.118,"35,47"
"31500,0",0.178,"35,71"
"32000,0",0.267,"35,95"
"32500,0",0.385,"36,19"
"33000,0",0.533,"36,43"
"33500,0",0.696,"36,64"
"34000,0",0.844,"36,85"
"34500,0",0.9480000000000001,"37,06"
"35000,0",0.992,"37,27"
"35500,0",0.977,"37,48"
"36000,0",0.9179999999999999,"37,66"
"36500,0",0.829,"37,9"
"37000,0",0.721,"38,08"
"37500,0",0.612,"38,29"
"38000,0",0.508,"38,44"
"38500,0",0.41500000000000004,"38,65"
"39000,0",0.33599999999999997,"38,8"
"39500,0",0.27599999999999997,"38,98"
"40000,0",0.271,"39,16"
"40500,0",0.227,"39,34"
"41000,0",0.178,"39,49"
"41500,0",0.143,"39,67"
"42000,0",0.123,"39,82"
"42500,0",0.11399999999999999,"39,97"
"43000,0",0.10900000000000001,"40,12"
"43500,0",0.118,"40,27"
"44000,0",0.13799999999999998,"40,41"
"44500,0",0.16299999999999998,"40,53"
"45000,0",0.207,"40,68"
"45500,0",0.262,"40,86"
"46000,0",0.331,"40,95"
"46500,0",0.41,"41,1"
"47000,0",0.503,"41,22"
"47500,0",0.617,"41,34"
"48000,0",0.721,"41,49"
"48500,0",0.829,"41,61"
"49000,0",0.9380000000000001,"41,73"
"49500,0",1.046,"41,85"
"50000,0",1.1400000000000001,"41,94"
"50500,0",1.224,"42,06"
"51000,0",1.2730000000000001,"42,18"
"51500,0",1.303,"42,27"
"52000,0",1.3130000000000002,"42,36"
"52500,0",1.308,"42,48"
"53000,0",1.278,"42,57"
"53500,0",1.239,"42,69"
"54000,0",1.19,"42,78"
"54500,0",1.125,"42,87"
"55000,0",1.051,"42,96"
"55500,0",0.982,"43,05"
"56000,0",0.913,"43,14"
"56500,0",0.844,"43,23"
"57000,0",0.77,"43,32"
"57500,0",0.696,"43,41"
"58000,0",0.637,"43,47"
"58500,0",0.577,"43,59"
"59000,0",0.518,"43,68"
"59500,0",0.46900000000000003,"43,74"
"60000,0",0.42400000000000004,"43,8"
"60500,0",0.38,"43,89"
"61000,0",0.341,"43,95"
"61500,0",0.316,"44,04"
"62000,0",0.281,"44,1"
"62500,0",0.257,"44,16"
