Pico (Tensão - Dados),Pico (Corrente - Dados),Vale (Tensão - Dados),Vale (Corrente - Dados),Distância Picos-Vales (Dados),Distância Picos Consecutivos (V),Distância Vales Consecutivos (V),Média Distância Picos Consecutivos (V),Média Distância Vales Consecutivos (V)
12.76,,15.01,,2.25,4.35,5.24,4.537142857142858,4.903333333333333
17.11,,20.25,,3.1400000000000006,5.390000000000001,4.77,,
22.5,,25.02,,2.5199999999999996,4.760000000000002,5.030000000000001,,
27.26,,30.05,,2.789999999999999,4.859999999999996,4.91,,
32.12,,34.96,,2.8400000000000034,5.150000000000006,5.159999999999997,,
37.27,,40.12,,2.8499999999999943,5.089999999999996,4.310000000000002,,
42.36,,44.43,,2.0700000000000003,2.1600000000000037,,,
44.52,,,,,,,,
,0.89,,,,,,,
,,,0.74,,,,,
,1.58,,,,,,,
,,,0.69,,,,,
,3.26,,,,,,,
,,,1.23,,,,,
,4.44,,,,,,,
,,,0.94,,,,,
,6.32,,,,,,,
,,,0.84,,,,,
,9.92,,,,,,,
,,,1.09,,,,,
,13.13,,,,,,,
,,,1.68,,,,,
,6.61,,,,,,,
