Time,Corrente,Tensão
t/ms,i/nA,U/V
"0,0","-0,2","0,3"
"500,0","-0,15","0,33"
"1000,0","-0,15","0,84"
"1500,0","0,05","1,92"
"2000,0","0,05","3,03"
"2500,0","-0,05","4,07"
"3000,0","-0,05","5,12"
"3500,0","-0,1","6,11"
"4000,0","-0,05","7,1"
"4500,0","0,0","8,03"
"5000,0","0,05","8,96"
"5500,0","0,1","9,83"
"6000,0","0,1","10,73"
"6500,0","0,15","11,56"
"7000,0","0,2","12,37"
"7500,0","0,2","13,18"
"8000,0","0,15","13,96"
"8500,0","0,15","14,71"
"9000,0","0,2","15,46"
"9500,0","0,3","16,21"
"10000,0","0,39","16,9"
"10500,0","0,44","17,59"
"11000,0","0,44","18,25"
"11500,0","0,35","18,9"
"12000,0","0,3","19,5"
"12500,0","0,35","20,13"
"13000,0","0,44","20,73"
"13500,0","0,64","21,33"
"14000,0","0,84","21,9"
"14500,0","0,89","22,47"
"15000,0","0,79","23,01"
"15500,0","0,64","23,52"
"16000,0","0,49","24,06"
"16500,0","0,44","24,54"
"17000,0","0,49","25,08"
"17500,0","0,64","25,56"
"18000,0","0,89","26,0"
"18500,0","1,18","26,48"
"19000,0","1,43","26,9"
"19500,0","1,53","27,35"
"20000,0","1,38","27,8"
"20500,0","1,09","28,22"
"21000,0","0,84","28,64"
"21500,0","0,64","29,03"
"22000,0","0,54","29,42"
"22500,0","0,64","29,81"
"23000,0","0,94","30,2"
"23500,0","1,14","30,56"
"24000,0","1,38","30,92"
"24500,0","1,63","31,28"
"25000,0","1,97","31,61"
"25500,0","2,17","31,97"
"26000,0","2,32","32,3"
"26500,0","2,17","32,63"
"27000,0","1,88","32,93"
"27500,0","1,48","33,22"
"28000,0","1,18","33,52"
"28500,0","0,94","33,82"
"29000,0","0,74","34,15"
"29500,0","0,64","34,42"
"30000,0","0,69","34,69"
"30500,0","0,74","34,96"
"31000,0","0,99","35,23"
"31500,0","1,23","35,5"
"32000,0","1,53","35,77"
"32500,0","1,83","36,01"
"33000,0","2,17","36,25"
"33500,0","2,52","36,49"
"34000,0","2,96","36,7"
"34500,0","3,26","36,94"
"35000,0","3,5","37,15"
"35500,0","3,55","37,39"
"36000,0","3,46","37,6"
"36500,0","3,21","37,78"
"37000,0","2,86","37,99"
"37500,0","2,42","38,2"
"38000,0","2,02","38,38"
"38500,0","1,63","38,56"
"39000,0","1,33","38,77"
"39500,0","1,09","38,92"
"40000,0","0,94","39,16"
"40500,0","0,84","39,31"
"41000,0","0,84","39,46"
"41500,0","0,89","39,67"
"42000,0","0,99","39,82"
"42500,0","1,09","39,97"
"43000,0","1,28","40,12"
"43500,0","1,48","40,27"
"44000,0","1,73","40,41"
"44500,0","1,97","40,56"
"45000,0","2,22","40,71"
"45500,0","2,52","40,86"
"46000,0","2,81","41,01"
"46500,0","3,16","41,13"
"47000,0","3,41","41,28"
"47500,0","3,8","41,4"
"48000,0","4,05","41,58"
"48500,0","4,29","41,67"
"49000,0","4,59","41,79"
"49500,0","4,84","41,91"
"50000,0","4,99","42,03"
"50500,0","5,13","42,15"
"51000,0","5,18","42,27"
"51500,0","5,18","42,36"
"52000,0","5,08","42,51"
"52500,0","4,94","42,6"
"53000,0","4,69","42,69"
"53500,0","4,44","42,84"
"54000,0","4,2","42,93"
"54500,0","3,9","43,02"
"55000,0","3,6","43,11"
"55500,0","3,31","43,2"
"56000,0","3,01","43,32"
"56500,0","2,71","43,38"
"57000,0","2,42","43,47"
"57500,0","2,17","43,56"
"58000,0","1,97","43,65"
"58500,0","1,78","43,74"
"59000,0","1,63","43,83"
"59500,0","1,43","43,92"
"60000,0","1,33","43,98"
"60500,0","1,23","44,07"
"61000,0","1,14","44,13"
"61500,0","1,09","44,22"
"62000,0","1,04","44,28"
"62500,0","0,99","44,37"
"63000,0","0,94","44,43"
"63500,0","0,99","44,49"
"64000,0","0,94","44,55"
"64500,0","0,89","44,61"
"65000,0","0,89","44,7"
"65500,0","0,89","44,73"
"66000,0","0,89","44,79"
"66500,0","0,89","44,85"
"67000,0","0,94","44,91"
"67500,0","0,99","44,97"
"68000,0","0,99","45,06"
"68500,0","1,04","45,09"
