Time,Corrente,Tensão
t/ms,,U/V
"0,0",-0.02,"0,3"
"500,0",-0.015,"0,33"
"1000,0",-0.015,"0,84"
"1500,0",0.005,"1,92"
"2000,0",0.005,"3,03"
"2500,0",-0.005,"4,07"
"3000,0",-0.005,"5,12"
"3500,0",-0.01,"6,11"
"4000,0",-0.005,"7,1"
"4500,0",0.0,"8,03"
"5000,0",0.005,"8,96"
"5500,0",0.01,"9,83"
"6000,0",0.01,"10,73"
"6500,0",0.015,"11,56"
"7000,0",0.02,"12,37"
"7500,0",0.02,"13,18"
"8000,0",0.015,"13,96"
"8500,0",0.015,"14,71"
"9000,0",0.02,"15,46"
"9500,0",0.03,"16,21"
"10000,0",0.039,"16,9"
"10500,0",0.044,"17,59"
"11000,0",0.044,"18,25"
"11500,0",0.034999999999999996,"18,9"
"12000,0",0.03,"19,5"
"12500,0",0.034999999999999996,"20,13"
"13000,0",0.044,"20,73"
"13500,0",0.064,"21,33"
"14000,0",0.08399999999999999,"21,9"
"14500,0",0.089,"22,47"
"15000,0",0.079,"23,01"
"15500,0",0.064,"23,52"
"16000,0",0.049,"24,06"
"16500,0",0.044,"24,54"
"17000,0",0.049,"25,08"
"17500,0",0.064,"25,56"
"18000,0",0.089,"26,0"
"18500,0",0.118,"26,48"
"19000,0",0.143,"26,9"
"19500,0",0.153,"27,35"
"20000,0",0.13799999999999998,"27,8"
"20500,0",0.10900000000000001,"28,22"
"21000,0",0.08399999999999999,"28,64"
"21500,0",0.064,"29,03"
"22000,0",0.054000000000000006,"29,42"
"22500,0",0.064,"29,81"
"23000,0",0.094,"30,2"
"23500,0",0.11399999999999999,"30,56"
"24000,0",0.13799999999999998,"30,92"
"24500,0",0.16299999999999998,"31,28"
"25000,0",0.197,"31,61"
"25500,0",0.217,"31,97"
"26000,0",0.23199999999999998,"32,3"
"26500,0",0.217,"32,63"
"27000,0",0.188,"32,93"
"27500,0",0.148,"33,22"
"28000,0",0.118,"33,52"
"28500,0",0.094,"33,82"
"29000,0",0.074,"34,15"
"29500,0",0.064,"34,42"
"30000,0",0.06899999999999999,"34,69"
"30500,0",0.074,"34,96"
"31000,0",0.099,"35,23"
"31500,0",0.123,"35,5"
"32000,0",0.153,"35,77"
"32500,0",0.183,"36,01"
"33000,0",0.217,"36,25"
"33500,0",0.252,"36,49"
"34000,0",0.296,"36,7"
"34500,0",0.32599999999999996,"36,94"
"35000,0",0.35,"37,15"
"35500,0",0.355,"37,39"
"36000,0",0.346,"37,6"
"36500,0",0.321,"37,78"
"37000,0",0.286,"37,99"
"37500,0",0.242,"38,2"
"38000,0",0.202,"38,38"
"38500,0",0.16299999999999998,"38,56"
"39000,0",0.133,"38,77"
"39500,0",0.10900000000000001,"38,92"
"40000,0",0.094,"39,16"
"40500,0",0.08399999999999999,"39,31"
"41000,0",0.08399999999999999,"39,46"
"41500,0",0.089,"39,67"
"42000,0",0.099,"39,82"
"42500,0",0.10900000000000001,"39,97"
"43000,0",0.128,"40,12"
"43500,0",0.148,"40,27"
"44000,0",0.173,"40,41"
"44500,0",0.197,"40,56"
"45000,0",0.22200000000000003,"40,71"
"45500,0",0.252,"40,86"
"46000,0",0.281,"41,01"
"46500,0",0.316,"41,13"
"47000,0",0.341,"41,28"
"47500,0",0.38,"41,4"
"48000,0",0.40499999999999997,"41,58"
"48500,0",0.429,"41,67"
"49000,0",0.45899999999999996,"41,79"
"49500,0",0.484,"41,91"
"50000,0",0.499,"42,03"
"50500,0",0.513,"42,15"
"51000,0",0.518,"42,27"
"51500,0",0.518,"42,36"
"52000,0",0.508,"42,51"
"52500,0",0.49400000000000005,"42,6"
"53000,0",0.46900000000000003,"42,69"
"53500,0",0.44400000000000006,"42,84"
"54000,0",0.42000000000000004,"42,93"
"54500,0",0.39,"43,02"
"55000,0",0.36,"43,11"
"55500,0",0.331,"43,2"
"56000,0",0.301,"43,32"
"56500,0",0.271,"43,38"
"57000,0",0.242,"43,47"
"57500,0",0.217,"43,56"
"58000,0",0.197,"43,65"
"58500,0",0.178,"43,74"
"59000,0",0.16299999999999998,"43,83"
"59500,0",0.143,"43,92"
"60000,0",0.133,"43,98"
"60500,0",0.123,"44,07"
"61000,0",0.11399999999999999,"44,13"
"61500,0",0.10900000000000001,"44,22"
"62000,0",0.10400000000000001,"44,28"
"62500,0",0.099,"44,37"
"63000,0",0.094,"44,43"
"63500,0",0.099,"44,49"
"64000,0",0.094,"44,55"
"64500,0",0.089,"44,61"
"65000,0",0.089,"44,7"
"65500,0",0.089,"44,73"
"66000,0",0.089,"44,79"
"66500,0",0.089,"44,85"
"67000,0",0.094,"44,91"
"67500,0",0.099,"44,97"
"68000,0",0.099,"45,06"
"68500,0",0.10400000000000001,"45,09"
